TEAM,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,GA/G,W,L,OTL,SA,GA,PTS%
,,,,,,,,,,,,,,,,,,
Buffalo Sabres,82,2.32,324,514,51,14.4,8,2345,8.1,1276,85.4,2.67,27,45,0,2297,219,0.329268293
,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,82,2.3,334,523,66,18.3,3,2079,9.1,1125,83.5,3.11,27,49,0,2535,255,0.329268293
,,,,,,,,,,,,,,,,,,
Calgary Flames,82,2.27,315,501,47,12.1,5,2341,7.9,1391,83.3,2.78,29,40,0,2222,228,0.353658537
,,,,,,,,,,,,,,,,,,
Nashville Predators,82,2.23,303,486,58,13.9,2,2316,7.9,969,82.7,2.51,27,42,0,2252,206,0.329268293
,,,,,,,,,,,,,,,,,,
Florida Panthers,82,2.15,286,462,49,14.1,7,2229,7.9,1127,81.5,2.89,24,45,0,2725,237,0.292682927
,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,82,2.09,286,457,58,13.8,6,2414,7.1,1208,81.9,2.93,22,49,0,2332,240,0.268292683
,,,,,,,,,,,,,,,,,,
Ottawa Senators,82,3.2,432,694,80,21.6,6,2421,10.8,1270,83.6,2.31,43,29,0,2040,189,0.524390244
,,,,,,,,,,,,,,,,,,
Detroit Red Wings,82,3.11,432,687,63,20.1,15,2484,10.3,966,86.8,2.31,48,23,0,2151,189,0.585365854
,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,82,2.99,415,660,55,16.3,15,2460,10,985,84.8,2.34,46,28,0,2085,192,0.56097561
,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,82,2.95,423,665,75,20.1,8,2253,10.7,1452,83.4,2.49,45,27,0,2167,204,0.548780488
,,,,,,,,,,,,,,,,,,
New York Islanders,82,2.89,380,617,54,16.7,11,2341,10.1,1168,85.5,2.56,38,33,0,2244,210,0.463414634
,,,,,,,,,,,,,,,,,,
Colorado Avalanche,82,2.88,418,654,74,20.4,7,2411,9.8,1293,83.8,2.42,40,29,0,2325,198,0.487804878
,,,,,,,,,,,,,,,,,,
Vancouver Canucks,82,2.87,410,645,56,15,5,2379,9.9,1274,86,2.37,43,29,0,2183,194,0.524390244
,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,82,2.79,403,632,65,20.7,7,2411,9.5,1357,83.3,2.27,40,27,0,2092,186,0.487804878
,,,,,,,,,,,,,,,,,,
Edmonton Oilers,82,2.7,363,584,44,13,13,2332,9.5,1220,81.1,2.54,36,34,0,2175,208,0.43902439
,,,,,,,,,,,,,,,,,,
Buffalo Sabres,82,2.68,360,580,58,15.8,7,2301,9.6,1289,84.8,2.7,37,38,0,2340,221,0.451219512
,,,,,,,,,,,,,,,,,,
San Jose Sharks,82,2.67,376,595,56,16.6,9,2300,9.5,1091,85.3,2.23,43,27,0,2373,183,0.524390244
,,,,,,,,,,,,,,,,,,
Nashville Predators,82,2.63,373,589,72,16.9,14,2227,9.7,1360,81.8,2.65,38,33,0,2335,217,0.463414634
,,,,,,,,,,,,,,,,,,
Winnipeg Jets,82,2.61,368,582,60,14.7,11,2141,10,1505,85.2,2.96,33,41,0,2411,243,0.402439024
,,,,,,,,,,,,,,,,,,
New Jersey Devils,82,2.6,375,588,51,16.3,8,2433,8.8,894,85.3,2,43,27,0,2001,164,0.524390244
,,,,,,,,,,,,,,,,,,
Boston Bruins,82,2.55,343,552,48,16,7,2500,8.4,1208,83.6,2.29,41,26,0,2280,188,0.5
,,,,,,,,,,,,,,,,,,
Montreal Canadiens,82,2.54,354,562,55,17.2,5,2270,9.2,1039,82.5,2.34,41,34,0,2344,192,0.5
,,,,,,,,,,,,,,,,,,
New York Rangers,82,2.51,356,562,46,14.3,6,2416,8.5,1459,79.4,3.05,27,48,0,2396,250,0.329268293
,,,,,,,,,,,,,,,,,,
Los Angeles Kings,82,2.5,358,563,50,14,9,2349,8.7,1163,80.7,2.65,28,38,0,2213,217,0.341463415
,,,,,,,,,,,,,,,,,,
Calgary Flames,82,2.44,338,538,54,15.1,11,2248,8.9,1426,84.7,2.15,42,33,0,2090,176,0.512195122
,,,,,,,,,,,,,,,,,,
Dallas Stars,82,2.37,344,538,52,15.9,5,2196,8.8,1143,85.9,2.13,41,28,0,1902,175,0.5
,,,,,,,,,,,,,,,,,,
St. Louis Blues,82,2.33,323,514,61,17.9,7,2223,8.6,1274,84.5,2.42,39,32,0,2103,198,0.475609756
,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,82,2.32,332,522,65,18.1,7,2029,9.4,1270,77.2,3.7,23,51,0,2720,303,0.280487805
,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,82,2.29,326,514,55,15.8,5,2401,7.8,1318,83.5,3.16,20,51,0,2521,259,0.243902439
,,,,,,,,,,,,,,,,,,
Arizona Coyotes,82,2.29,319,507,51,14.2,9,2171,8.7,1300,82.2,2.99,22,42,0,2506,245,0.268292683
,,,,,,,,,,,,,,,,,,
Florida Panthers,82,2.29,307,495,52,16.8,7,2273,8.3,1192,86.3,2.7,28,39,0,2828,221,0.341463415
,,,,,,,,,,,,,,,,,,
Minnesota Wild,82,2.29,313,501,46,13.6,7,1982,9.5,1035,84.5,2.23,30,32,0,2383,183,0.365853659
,,,,,,,,,,,,,,,,,,
Washington Capitals,82,2.27,318,504,64,19.2,4,1946,9.6,1282,81.3,3.09,23,49,0,2586,253,0.280487805
,,,,,,,,,,,,,,,,,,
Anaheim Ducks,82,2.24,314,498,56,18.1,5,2438,7.5,1131,84.7,2.6,29,43,0,2443,213,0.353658537
,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,82,2.16,296,473,58,14.5,5,2280,7.8,1209,85.2,2.9,25,49,0,2623,238,0.304878049
,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,82,2.1,283,455,41,10.7,9,2394,7.2,1102,81.6,2.55,28,40,0,2150,209,0.341463415
,,,,,,,,,,,,,,,,,,
Ottawa Senators,82,3.2,432,694,80,21.6,6,2421,10.8,1270,83.6,2.31,43,29,0,2040,189,0.524390244
,,,,,,,,,,,,,,,,,,
Detroit Red Wings,82,3.11,432,687,63,20.1,15,2484,10.3,966,86.8,2.31,48,23,0,2151,189,0.585365854
,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,82,2.99,415,660,55,16.3,15,2460,10,985,84.8,2.34,46,28,0,2085,192,0.56097561
,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,82,2.95,423,665,75,20.1,8,2253,10.7,1452,83.4,2.49,45,27,0,2167,204,0.548780488
,,,,,,,,,,,,,,,,,,
New York Islanders,82,2.89,380,617,54,16.7,11,2341,10.1,1168,85.5,2.56,38,33,0,2244,210,0.463414634
,,,,,,,,,,,,,,,,,,
Colorado Avalanche,82,2.88,418,654,74,20.4,7,2411,9.8,1293,83.8,2.42,40,29,0,2325,198,0.487804878
,,,,,,,,,,,,,,,,,,
Vancouver Canucks,82,2.87,410,645,56,15,5,2379,9.9,1274,86,2.37,43,29,0,2183,194,0.524390244
,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,82,2.79,403,632,65,20.7,7,2411,9.5,1357,83.3,2.27,40,27,0,2092,186,0.487804878
,,,,,,,,,,,,,,,,,,
Edmonton Oilers,82,2.7,363,584,44,13,13,2332,9.5,1220,81.1,2.54,36,34,0,2175,208,0.43902439
,,,,,,,,,,,,,,,,,,
Buffalo Sabres,82,2.68,360,580,58,15.8,7,2301,9.6,1289,84.8,2.7,37,38,0,2340,221,0.451219512
,,,,,,,,,,,,,,,,,,
San Jose Sharks,82,2.67,376,595,56,16.6,9,2300,9.5,1091,85.3,2.23,43,27,0,2373,183,0.524390244
,,,,,,,,,,,,,,,,,,
Nashville Predators,82,2.63,373,589,72,16.9,14,2227,9.7,1360,81.8,2.65,38,33,0,2335,217,0.463414634
,,,,,,,,,,,,,,,,,,
Winnipeg Jets,82,2.61,368,582,60,14.7,11,2141,10,1505,85.2,2.96,33,41,0,2411,243,0.402439024
,,,,,,,,,,,,,,,,,,
New Jersey Devils,82,2.6,375,588,51,16.3,8,2433,8.8,894,85.3,2,43,27,0,2001,164,0.524390244
,,,,,,,,,,,,,,,,,,
Boston Bruins,82,2.55,343,552,48,16,7,2500,8.4,1208,83.6,2.29,41,26,0,2280,188,0.5
,,,,,,,,,,,,,,,,,,
Montreal Canadiens,82,2.54,354,562,55,17.2,5,2270,9.2,1039,82.5,2.34,41,34,0,2344,192,0.5
,,,,,,,,,,,,,,,,,,
New York Rangers,82,2.51,356,562,46,14.3,6,2416,8.5,1459,79.4,3.05,27,48,0,2396,250,0.329268293
,,,,,,,,,,,,,,,,,,
Los Angeles Kings,82,2.5,358,563,50,14,9,2349,8.7,1163,80.7,2.65,28,38,0,2213,217,0.341463415
,,,,,,,,,,,,,,,,,,
Calgary Flames,82,2.44,338,538,54,15.1,11,2248,8.9,1426,84.7,2.15,42,33,0,2090,176,0.512195122
,,,,,,,,,,,,,,,,,,
Dallas Stars,82,2.37,344,538,52,15.9,5,2196,8.8,1143,85.9,2.13,41,28,0,1902,175,0.5
,,,,,,,,,,,,,,,,,,
St. Louis Blues,82,2.33,323,514,61,17.9,7,2223,8.6,1274,84.5,2.42,39,32,0,2103,198,0.475609756
,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,82,2.32,332,522,65,18.1,7,2029,9.4,1270,77.2,3.7,23,51,0,2720,303,0.280487805
,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,82,2.29,326,514,55,15.8,5,2401,7.8,1318,83.5,3.16,20,51,0,2521,259,0.243902439
,,,,,,,,,,,,,,,,,,
Arizona Coyotes,82,2.29,319,507,51,14.2,9,2171,8.7,1300,82.2,2.99,22,42,0,2506,245,0.268292683
,,,,,,,,,,,,,,,,,,
Florida Panthers,82,2.29,307,495,52,16.8,7,2273,8.3,1192,86.3,2.7,28,39,0,2828,221,0.341463415
,,,,,,,,,,,,,,,,,,
Minnesota Wild,82,2.29,313,501,46,13.6,7,1982,9.5,1035,84.5,2.23,30,32,0,2383,183,0.365853659
,,,,,,,,,,,,,,,,,,
Washington Capitals,82,2.27,318,504,64,19.2,4,1946,9.6,1282,81.3,3.09,23,49,0,2586,253,0.280487805
,,,,,,,,,,,,,,,,,,
